id,pname,gender,fname,canonical_fname,oname,born_on_year,begin_on_year,begin_on_month,begin_on_day,end_on_year,end_on_month,end_on_day,nationality,sheet,is_higher_official,is_core_section,second_nationality,age,age_group
5016,A. Bavay,Male,Temporary Collaborator,LoN First Division,Information,,1929,8,29,1929,9,12,,core_only,False,True,,,
11885,A. Blanc,Male,President,President,Legal,,1920,12,1,1921,5,31,Swiss,core_only,False,True,,,
11738,A. Gastelu,,Honorary Correspondent,LoN Honorary Correspondent,Information,,1927,9,25,,,,Ecuadorian,core_only,False,True,,,
11738,A. Gastelu,,League of Nations General Assembly Delegate,Representative,General Assembly: Eighteenth Ordinary Session of the Assembly,,,,,,,,Ecuadorian,lonsea_all,False,False,,,
11738,A. Gastelu,,League of Nations General Assembly Delegate,Representative,General Assembly: Nineteenth Ordinary Session of the Assembly,,,,,,,,Ecuadorian,lonsea_all,False,False,,,
11738,A. Gastelu,,League of Nations General Assembly Delegate,Representative,General Assembly: Seventeenth Ordinary Session of the Assembly,,,,,,,,Ecuadorian,lonsea_all,False,False,,,
11738,A. Gastelu,,League of Nations General Assembly Delegate,Representative,General Assembly: Special Session of the Assembly Convened for the Purpose of Considering the Request of the Kingdom of Egypt for Admission to the League of Nations,,,,,,,,Ecuadorian,lonsea_all,False,False,,,
11738,A. Gastelu,,League of Nations General Assembly Delegate,Representative,General Assembly: Twentieth (Conclusion) and Twenty-first Ordinary Session of the Assembly,,,,,,,,Ecuadorian,lonsea_all,False,False,,,
11738,A. Gastelu,,League of Nations General Assembly Delegate,Representative,General Assembly: Twentieth Ordinary Session of the Assembly,,,,,,,,Ecuadorian,lonsea_all,False,False,,,
4981,A. Gordon Bagnall,Male,President,President,International Confederation of Students,,1929,,,1936,,,British,lonsea_all,False,False,,,
4981,A. Gordon Bagnall,Male,Temporary Collaborator,LoN First Division,Information,,1935,6,14,1935,6,20,British,core_only,False,True,,,
5414,A. J. Harrop,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,New Zealander,core_only,False,True,,,
5206,A. M. Stuyt,Male,Temporary Collaborator,LoN First Division,Information,,1938,9,9,1938,9,30,Dutch,core_only,False,True,,,
5348,A. Martyn Finlay,Male,Temporary Collaborator,LoN First Division,Information,,1938,9,9,1938,9,30,British,core_only,False,True,,,
5547,A. Rienks,Male,Temporary Collaborator,LoN First Division,Information,,1929,9,2,1929,9,23,Dutch,core_only,False,True,,,
4909,A.H. Nijhoff,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,Dutch,core_only,False,True,,,
5179,A.J.  Brink,Male,Temporary Collaborator,LoN First Division,Information,,1931,8,31,1931,9,21,British,core_only,False,True,,,
4903,Aarne Wuorimaa,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Eleventh Ordinary Session of the Assembly,1892,,,,,,,Finish,lonsea_all,False,False,,,
4903,Aarne Wuorimaa,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Tenth Ordinary Session of the Assembly,1892,,,,,,,Finish,lonsea_all,False,False,,,
4903,Aarne Wuorimaa,Male,Member of Section,LoN First Division,Administrative and Minorities,1892,1923,11,20,1925,11,13,Finish,core_only,False,True,,31,30-40
5050,Abbé Nicolas Majerus,Male,Temporary Collaborator,LoN First Division,Information,,1927,4,30,1927,5,13,Luxembourgish,core_only,False,True,,,
4712,Abdel Khalek  Hassouna Bey,Male,Temporary Collaborator,LoN First Division,Information,,1937,9,9,1937,9,30,Egyptian,core_only,False,True,,,
5464,Abdollah K. Entezam,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Eighteenth Ordinary Session of the Assembly,,,,,,,,Persian,lonsea_all,False,False,,,
5464,Abdollah K. Entezam,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Seventeenth Ordinary Session of the Assembly,,,,,,,,Persian,lonsea_all,False,False,,,
5464,Abdollah K. Entezam,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Special Session of the Assembly Convened for the Purpose of Considering the Request of the Kingdom of Egypt for Admission to the League of Nations,,,,,,,,Persian,lonsea_all,False,False,,,
5464,Abdollah K. Entezam,Male,Temporary Collaborator,LoN First Division,Information,,1935,3,6,1935,4,9,Persian,core_only,False,True,,,
5258,Abdu Aziz Puri,Male,Temporary Collaborator,LoN First Division,Information,,1937,9,9,1937,9,23,Indian,core_only,False,True,,,
4870,Abdul Waheed,Male,Member of Section,LoN First Division,Political,1909,1938,2,9,1945,2,8,Indian,core_only,False,True,,29,20-30
12059,Abilio Coutinho,Male,First Class Assistant,LoN First Division,Financial  & Economic Intelligence Service,1897,1925,1,30,1930,1,26,Portugese,core_only,False,True,,28,20-30
12059,Abilio Coutinho,Male,Liaison Officer,LoN First Division,Information,1897,1930,1,27,1934,9,30,Portugese,core_only,False,True,,33,30-40
5445,Abol-Hassan Khan Hekimi,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Sixth Ordinary Session of the Assembly,1888,,,,,,,Iranian,lonsea_all,False,False,,,
5445,Abol-Hassan Khan Hekimi,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Special Session of the Assembly,1888,,,,,,,Iranian,lonsea_all,False,False,,,
5445,Abol-Hassan Khan Hekimi,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Twentieth (Conclusion) and Twenty-first Ordinary Session of the Assembly,1888,,,,,,,Iranian,lonsea_all,False,False,,,
5445,Abol-Hassan Khan Hekimi,Male,Member of Section,LoN First Division,Minorities,1888,1926,8,1,1941,5,31,Iranian,core_only,False,True,,38,30-40
5474,Achille Reisdorff,Male,Honorary President,President,Inter-Allied Federation of Ex-Servicemen,,1936,,,,,,Luxembourgish,lonsea_all,False,False,,,
5474,Achille Reisdorff,Male,President,President,Inter-Allied Federation of Ex-Servicemen,,1929,,,1936,,,Luxembourgish,lonsea_all,False,False,,,
5474,Achille Reisdorff,Male,Temporary Collaborator,LoN First Division,Information,,1932,9,19,1932,10,10,Luxembourgish,core_only,False,True,,,
9925,Ada Ditzen,Female,Assistant,LoN Second Division,Health,,1925,8,27,1925,9,9,German,core_only,False,True,,,
5074,Adolf Bochenski,Male,Temporary Collaborator,LoN First Division,Information,,,,,,,,Polish,core_only,False,True,,,
4968,Adrianus Pelt,Male,Director,LoN First Division,Information,1892,1934,1,1,1940,12,31,Dutch,core_only,False,True,,42,40-50
4968,Adrianus Pelt,Male,Member of Section,LoN First Division,Information,1892,1920,4,1,1940,12,31,Dutch,core_only,False,True,,28,20-30
9747,Adrianus Van Kleffens,Male,Assistant,LoN Second Division,Social Questions and Opium Traffic,1899,1924,6,26,1925,2,28,Dutch,core_only,False,True,,25,20-30
5691,Adrien Lachenal,Male,President,President,,,1923,,,,,,,lonsea_all,False,False,,,
5691,Adrien Lachenal,Male,Unspecified,League of Nations staff,Disarmament,,1922,9,8,1922,9,16,,core_only,False,True,,,
5691,Adrien Lachenal,Male,Vice President,Vice President,International Association for Social Progress,,1925,,,1938,,,,lonsea_all,False,False,,,
5308,Agnes Jorgensen,Female,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,Norwegian,core_only,False,True,,,
9582,Ahakuntala Paranjpye,Female,Clerk Stagiaire,LoN Third Division,Financial  & Economic Intelligence Service,1906,1933,4,10,1934,4,30,Indian,core_only,False,True,,27,20-30
5481,Albert Dufour-Féronce,Male,Under Secretary General,LoN First Division,Under-Secretary-General's Office,1868,1927,1,1,1932,10,22,German,core_only,True,False,,59,50-60
5356,Albert Mordannt Hamilton,Male,Temporary Collaborator,LoN First Division,Information,1909,1934,9,7,1934,9,28,South African,core_only,False,True,,25,20-30
9790,Albert Poletti,Male,Messenger,LoN Second Division,Economic and Financial,1909,1928,9,13,1929,9,29,Swiss,core_only,False,True,,19,14-20
5236,Albéric Limpens,Male,Member of Section,LoN First Division,Economic and Financial,,1920,5,31,1920,7,31,,core_only,False,True,,,
4866,Alejandro Aguilar Machado,Male,Temporary Collaborator,LoN First Division,Information,,1931,5,13,,,,Costa Rican,core_only,False,True,,,
4965,Alex Paternotte,Male,Member of Section,LoN First Division,Economic and Financial,,1920,11,9,1922,6,30,Belgian,core_only,False,True,,,
5246,Alexander Loveday,Male,Chief of Section,LoN First Division,Economic and Financial,1888,1929,1,1,1931,4,1,British,core_only,False,True,,41,40-50
5246,Alexander Loveday,Male,Director,LoN First Division,Financial  & Economic Intelligence Service,1888,1931,4,1,1939,7,15,British,core_only,False,True,,43,40-50
5246,Alexander Loveday,Male,Director,LoN First Division,League of Nations,1888,1939,7,15,1940,8,6,British,core_only,False,False,,51,50-60
5246,Alexander Loveday,Male,Member of Section,LoN First Division,Economic and Financial,1888,1919,7,1,1929,1,1,British,core_only,False,True,,31,30-40
5257,Alexander Przychowsky,Male,Member of Section,LoN First Division,Economic and Financial,,1929,9,30,1929,10,19,German,core_only,False,True,,,
5387,Alexandra Cottou,Female,Temporary Collaborator,LoN First Division,Information,,1931,8,31,1931,9,21,Greek,core_only,False,True,,,
9933,Alexandre Dobiecki,Male,Assistant,LoN Second Division,Economic and Financial,1886,1929,1,2,1929,12,31,Hungarian,core_only,False,True,,43,40-50
5076,Alexandre Totesco,Male,Temporary Collaborator,LoN First Division,Information,,1938,9,9,1938,9,30,Romanian,core_only,False,True,,,
5177,Alfred Briedis,Male,Temporary Collaborator,LoN First Division,Information,,1938,9,9,1938,9,30,Latvian,core_only,False,True,,,
9991,Alfred Dupasquier,Male,Messenger,LoN Second Division,Economic and Financial,1906,1920,11,15,1923,5,12,Swiss,core_only,False,True,,14,
5511,Alfred Eduard Husslein,Male,Member of Section,LoN First Division,Economic and Financial,1889,1927,4,25,1934,4,24,German,core_only,False,True,,38,30-40
5208,Alfred von Suchan,Male,Member of Section,LoN First Division,Financial  & Economic Intelligence Service,1888,1924,7,5,1939,10,15,Austrian,core_only,False,True,,36,30-40
1780,Alfredo Blanco,Male,Member of Section,LoN First Division,Social Questions and Opium Traffic,1877,1922,8,30,1928,7,31,Spanish,core_only,False,True,,45,40-50
